Name Skyswatter FAA
ShortName dwSkyswatter
//The ammo this gun uses (shortName)
Ammo dwSkyswatterAmmo
Ammo dwSkyswatterTrackAmmo
Icon SkyswatterFAA
//Colour in Red, Green, Blue, each going up to 255.
Colour 255 255 255

//Reload time in ticks, 1/20ths of a second
ReloadTime 100
Recoil 25
Damage 12
Accuracy 10
//NumBullets 1
BulletSpeed 2.5
ShootDelay 5
ShootSound _SkyswatterFire
ReloadSound _SkyswatterReload
Mode SemiAuto
Scope skyswatterOverlay
ZoomLevel 2.0
FOV ZoomLevel 1.3
Distort Sound False
Deployable False
DeployedModel None

MoveSpeedModifier 0.6

//Show Information
Description SkyMare Corporation
ShowDamage true
ShowRecoil true

//Lower scaled model
ModelScale 0.25
//LoadIntoGun 1

//Dual Wield Toggle
OneHanded False

//Model settings
Model dwfirearms.SkyswatterFAA
Texture SkyswatterFAA_standard

//Attachment Settings
AllowAttachments none
AllowBarrelAttachments false
AllowScopeAttachments false
AllowStockAttachments false
AllowGripAttachments false

//PaintJob Settings
//Format is "Paintjob iconName textureName requiredDyeAmount requiredDyeColour" Multiple colours may be listed in order, seperated by a space.
//Dye colours are "black", "red", "green", "brown", "blue", "purple", "cyan", "silver", "gray", "pink", "lime", "yellow", "lightBlue", "magenta", "orange", "white"


//Owner DerpiWolf
