Name SF-94AU
ShortName dwSf94au
//The ammo this gun uses (shortName)
Ammo dwSf94auAmmo
Icon SF94AU
//Colour in Red, Green, Blue, each going up to 255.
Colour 255 255 255

//Reload time in ticks, 1/20ths of a second
ReloadTime 60
Recoil 4
Damage 6
Accuracy 10
//NumBullets 1
BulletSpeed 10.0
ShootDelay 2
ShootSound _SF94Fire
ReloadSound _SF94AUReload
Mode FullAuto
Scope None
ZoomLevel 1.0
FOV ZoomLevel 1.25
Distort Sound False
Deployable False
DeployedModel None
ModelScale 0.2
//LoadIntoGun 1
Knockback 1.0

//Dual Wield Toggle
OneHanded False

//Show Information
Description Lupine Military
ShowDamage true
ShowRecoil true

//Model settings
Model dwfirearms.SF94AU
Texture SF94AU_standard

//Attachment Settings
AllowAttachments none
AllowBarrelAttachments false
AllowScopeAttachments false
AllowStockAttachments false
AllowGripAttachments false

//PaintJob Settings
//Format is "Paintjob iconName textureName requiredDyeAmount requiredDyeColour" Multiple colours may be listed in order, seperated by a space.
//Dye colours are "black", "red", "green", "brown", "blue", "purple", "cyan", "silver", "gray", "pink", "lime", "yellow", "lightBlue", "magenta", "orange", "white"


//Owner DerpiWolf
